MLSNumber,Status,CloseDate,ListingContractDate,PendingDate,OriginalListPrice,ListPrice,PriceSqFtList,ClosePrice,PriceSqFtSold,Disclosures,SellerToClosingCosts,DOM,CDOM,StreetName,StreetNumber,StreetSuffix,City,StateOrProvince,PostalCode,LotSize,RoomCount,SqFtTotal,Stories,Subdivision,TempOffMarketDate,YearBuilt,BedsTotal,BathsFull,BathsHalf,BathsTotal,Area,PoolPrivate,GarageDesc,NoOfGarageCap
50823817,Sold,5/7/2020,11/7/2019,3/8/2020,215000,199900,102.04,199000,101.58,Sellers Disclosure,7500,121,121,Vermillion Oak,2000,Street,Fresno,Texas,77545,,8,1959,2,Winfield Lakes Sec 13,,2009,4,2,1,2.1,38,FALSE,Attached Garage,2
43833258,Sold,1/29/2021,12/23/2020,1/7/2021,200000,200000,101.83,200000,101.83,Sellers Disclosure,375,6,6,Farrel Hill,3319,Street,Fresno,Texas,77545,5474,8,1964,1,Winfield Lake,,2004,4,2,0,2,38,FALSE,Attached Garage,2
56327653,Sold,5/29/2020,4/20/2020,4/25/2020,200000,200000,126.58,200000,126.58,"Mud, Sellers Disclosure",0,5,5,Flowing Azalea,2406,Court,Fresno,Texas,77545,,8,1580,1,Winfield Lakes,,2014,3,2,0,2,38,FALSE,Attached Garage,2
23137489,Sold,2/20/2020,10/28/2019,1/8/2020,200000,205000,106.66,200000,104.06,"Mud, Sellers Disclosure",1000,33,33,Caldbeck,1911,Lane,Fresno,Texas,77545,6073,9,1922,1,Cambridge Falls,,2008,4,2,0,2,38,FALSE,Attached Garage,2
12497155,Sold,3/5/2021,1/27/2021,2/4/2021,195000,195000,111.49,205000,117.21,Sellers Disclosure,0,8,8,Acacia Fair,2711,Lane,Fresno,Texas,77545,6639,7,1749,1,Winfield Lakes Sec 6,,2005,3,2,0,2,38,FALSE,Attached Garage,2
3032283,Sold,3/26/2021,2/12/2021,2/14/2021,212000,212000,119.1,210000,117.98,Sellers Disclosure,0,2,2,Farrel Hill,3230,Street,Fresno,Texas,77545,6588,5,1780,1,Winfield Lakes Sec 2,,2003,3,2,0,2,38,FALSE,Attached Garage,2
74709664,Sold,8/17/2020,6/28/2020,7/11/2020,215000,215000,118.07,210000,115.32,"Mud, Sellers Disclosure",0,13,13,Manchester Crossing,1815,Drive,Fresno,Texas,77545,5704,7,1821,1,Cambridge Falls Sec 2,,2009,3,2,0,2,38,FALSE,Attached Garage,2
60308537,Sold,10/4/2019,6/11/2019,8/15/2019,220000,210000,114.69,210900,115.18,Sellers Disclosure,4000,65,65,Seville,1818,Manor,Fresno,Texas,77545,6099,4,1831,1,Cambridge Falls Sec 5,,2015,4,2,0,2,,FALSE,Attached Garage,2
10410656,Sold,10/8/2019,8/15/2019,9/4/2019,210500,210500,114.96,211000,115.24,"Mud, Other Disclosures, Sellers Disclosure",0,20,20,Seville,1803,Manor,Fresno,Texas,77545,7615,9,1831,1,Cambridge Falls Sec 5,,2015,4,2,0,2,38,FALSE,Attached Garage,2
76499909,Sold,5/8/2020,2/20/2020,2/20/2020,211920,211920,119.32,211920,119.32,Mud,0,0,0,Fawn Mountain,2702,Drive,Fresno,Texas,77545,,10,1776,1,Winfield Lakes,,2019,3,2,0,2,38,FALSE,Attached Garage,2
